delay_us,autocorr_H_db,crosscorr_HV_db
-9.271240e+00,-1.400000e+02,-1.400000e+02
-9.267171e+00,-1.400000e+02,-1.400000e+02
-9.263102e+00,-1.400000e+02,-1.400000e+02
-9.259033e+00,-1.400000e+02,-1.400000e+02
-9.254964e+00,-1.400000e+02,-1.400000e+02
-9.250895e+00,-1.400000e+02,-1.400000e+02
-9.246826e+00,-1.400000e+02,-1.400000e+02
-9.242757e+00,-1.400000e+02,-1.400000e+02
-9.238688e+00,-1.400000e+02,-1.400000e+02
-9.234619e+00,-1.400000e+02,-1.400000e+02
-9.230550e+00,-1.400000e+02,-1.400000e+02
-9.226481e+00,-1.400000e+02,-1.400000e+02
-9.222412e+00,-1.400000e+02,-1.400000e+02
-9.218343e+00,-1.400000e+02,-1.400000e+02
-9.214274e+00,-1.400000e+02,-1.400000e+02
-9.210205e+00,-1.400000e+02,-1.400000e+02
-9.206136e+00,-1.400000e+02,-1.400000e+02
-9.202067e+00,-1.400000e+02,-1.400000e+02
-9.197998e+00,-1.400000e+02,-1.400000e+02
-9.193929e+00,-1.400000e+02,-1.400000e+02
-9.189860e+00,-1.400000e+02,-1.400000e+02
-9.185791e+00,-1.400000e+02,-1.400000e+02
-9.181722e+00,-1.400000e+02,-1.400000e+02
-9.177653e+00,-1.400000e+02,-1.400000e+02
-9.173584e+00,-1.400000e+02,-1.400000e+02
-9.169515e+00,-1.400000e+02,-1.400000e+02
-9.165446e+00,-1.400000e+02,-1.400000e+02
-9.161377e+00,-1.400000e+02,-1.400000e+02
-9.157308e+00,-1.400000e+02,-1.400000e+02
-9.153239e+00,-1.400000e+02,-1.400000e+02
-9.149170e+00,-1.400000e+02,-1.400000e+02
-9.145101e+00,-1.400000e+02,-1.400000e+02
-9.141032e+00,-1.400000e+02,-1.400000e+02
-9.136963e+00,-1.400000e+02,-1.400000e+02
-9.132894e+00,-1.400000e+02,-1.400000e+02
-9.128825e+00,-1.400000e+02,-1.400000e+02
-9.124756e+00,-1.400000e+02,-1.400000e+02
-9.120687e+00,-1.400000e+02,-1.400000e+02
-9.116618e+00,-1.400000e+02,-1.400000e+02
-9.112549e+00,-1.400000e+02,-1.400000e+02
-9.108480e+00,-1.400000e+02,-1.400000e+02
-9.104411e+00,-1.400000e+02,-1.400000e+02
-9.100342e+00,-1.400000e+02,-1.400000e+02
-9.096273e+00,-1.400000e+02,-1.400000e+02
-9.092204e+00,-1.400000e+02,-1.400000e+02
-9.088135e+00,-1.400000e+02,-1.400000e+02
-9.084066e+00,-1.400000e+02,-1.400000e+02
-9.079997e+00,-1.400000e+02,-1.400000e+02
-9.075928e+00,-1.400000e+02,-1.400000e+02
-9.071859e+00,-1.400000e+02,-1.400000e+02
-9.067790e+00,-1.400000e+02,-1.400000e+02
-9.063721e+00,-1.400000e+02,-1.400000e+02
-9.059652e+00,-1.400000e+02,-1.400000e+02
-9.055583e+00,-1.400000e+02,-1.400000e+02
-9.051514e+00,-1.400000e+02,-1.400000e+02
-9.047445e+00,-1.400000e+02,-1.400000e+02
-9.043376e+00,-1.400000e+02,-1.400000e+02
-9.039307e+00,-1.400000e+02,-1.400000e+02
-9.035238e+00,-1.400000e+02,-1.400000e+02
-9.031169e+00,-1.400000e+02,-1.400000e+02
-9.027100e+00,-1.400000e+02,-1.400000e+02
-9.023031e+00,-1.400000e+02,-1.400000e+02
-9.018962e+00,-1.400000e+02,-1.400000e+02
-9.014893e+00,-1.400000e+02,-1.400000e+02
-9.010824e+00,-1.400000e+02,-1.400000e+02
-9.006755e+00,-1.400000e+02,-1.400000e+02
-9.002686e+00,-1.400000e+02,-1.400000e+02
-8.998617e+00,-1.400000e+02,-1.400000e+02
-8.994548e+00,-1.400000e+02,-1.400000e+02
-8.990479e+00,-1.400000e+02,-1.400000e+02
-8.986410e+00,-1.400000e+02,-1.400000e+02
-8.982340e+00,-1.400000e+02,-1.400000e+02
-8.978271e+00,-1.400000e+02,-1.400000e+02
-8.974202e+00,-1.400000e+02,-1.400000e+02
-8.970133e+00,-1.400000e+02,-1.400000e+02
-8.966064e+00,-1.400000e+02,-1.400000e+02
-8.961995e+00,-1.400000e+02,-1.400000e+02
-8.957926e+00,-1.400000e+02,-1.400000e+02
-8.953857e+00,-1.400000e+02,-1.400000e+02
-8.949788e+00,-1.400000e+02,-1.400000e+02
-8.945719e+00,-1.400000e+02,-1.400000e+02
-8.941650e+00,-1.400000e+02,-1.400000e+02
-8.937581e+00,-1.400000e+02,-1.400000e+02
-8.933512e+00,-1.400000e+02,-1.400000e+02
-8.929443e+00,-1.400000e+02,-1.400000e+02
-8.925374e+00,-1.400000e+02,-1.400000e+02
-8.921305e+00,-1.400000e+02,-1.400000e+02
-8.917236e+00,-1.400000e+02,-1.400000e+02
-8.913167e+00,-1.400000e+02,-1.400000e+02
-8.909098e+00,-1.400000e+02,-1.400000e+02
-8.905029e+00,-1.400000e+02,-1.400000e+02
-8.900960e+00,-1.400000e+02,-1.400000e+02
-8.896891e+00,-1.400000e+02,-1.400000e+02
-8.892822e+00,-1.400000e+02,-1.400000e+02
-8.888753e+00,-1.400000e+02,-1.400000e+02
-8.884684e+00,-1.400000e+02,-1.400000e+02
-8.880615e+00,-1.400000e+02,-1.400000e+02
-8.876546e+00,-1.400000e+02,-1.400000e+02
