delay_ms,lfm_db,kaiser_db,fosm_db
-36.9583,-45.9859,-38.0315,-38.1375
-36.9167,-34.8719,-31.5777,-31.5901
-36.8750,-34.6869,-34.1826,-34.1355
-36.8333,-44.3088,-52.4923,-53.1206
-36.7917,-32.8879,-33.1485,-33.1859
-36.7500,-41.1946,-32.3911,-32.3730
-36.7083,-35.9328,-43.0353,-42.8478
-36.6667,-34.3367,-36.2895,-36.3667
-36.6250,-54.8329,-31.8854,-31.8887
-36.5833,-33.7104,-36.2725,-36.2019
-36.5417,-37.6982,-43.0095,-43.2124
-36.5000,-37.9232,-32.2677,-32.2938
-36.4583,-33.2122,-32.7669,-32.7382
-36.4167,-62.4705,-48.2565,-47.8837
-36.3750,-33.5825,-34.6433,-34.7069
-36.3333,-37.2269,-31.3113,-31.3106
-36.2917,-39.1484,-36.1494,-36.0723
-36.2500,-33.5908,-42.4577,-42.6577
-36.2083,-49.4758,-32.1096,-32.1364
-36.1667,-34.1947,-32.6072,-32.5795
-36.1250,-35.8487,-46.6111,-46.3030
-36.0833,-39.6847,-35.2807,-35.3492
-36.0417,-33.0676,-31.7558,-31.7558
-36.0000,-51.1328,-36.5660,-36.4871
-35.9583,-34.1753,-42.6201,-42.8207
-35.9167,-36.5391,-32.3176,-32.3445
-35.8750,-40.3364,-32.7588,-32.7298
-35.8333,-33.3294,-46.8116,-46.4863
-35.7917,-49.0904,-35.0629,-35.1344
-35.7500,-33.7949,-31.2499,-31.2526
-35.7083,-36.4844,-35.1524,-35.0853
-35.6667,-38.4089,-46.0349,-46.3615
-35.6250,-33.5387,-32.4305,-32.4673
-35.5833,-63.5290,-31.7666,-31.7485
-35.5417,-33.9342,-40.4494,-40.2959
-35.5000,-37.6293,-37.5754,-37.6835
-35.4583,-37.7514,-31.6613,-31.6751
-35.4167,-33.4996,-33.9182,-33.8710
-35.3750,-53.7553,-72.2052,-83.8309
-35.3333,-33.1050,-33.8167,-33.8690
-35.2917,-40.5479,-31.7426,-31.7342
-35.2500,-35.8536,-37.8627,-37.7570
-35.2083,-34.7870,-40.2791,-40.4407
-35.1667,-45.1711,-31.7813,-31.8065
-35.1250,-33.1437,-32.3490,-32.3191
-35.0833,-44.2338,-44.7142,-44.4402
-35.0417,-34.1504,-35.5800,-35.6652
-35.0000,-36.1551,-31.1032,-31.1118
-34.9583,-38.7423,-33.8687,-33.8151
-34.9167,-33.6765,-61.4818,-63.7399
-34.8750,-73.6486,-33.5530,-33.6066
-34.8333,-33.6192,-31.5080,-31.5009
-34.7917,-39.1608,-37.0963,-36.9994
-34.7500,-35.8058,-41.8696,-42.0696
-34.7083,-34.4579,-32.2373,-32.2673
-34.6667,-42.2591,-32.3857,-32.3590
-34.6250,-33.2199,-42.9932,-42.7712
-34.5833,-50.6979,-36.4836,-36.5827
-34.5417,-34.0714,-31.2518,-31.2650
-34.5000,-37.6461,-33.2557,-33.2091
-34.4583,-37.1062,-55.3870,-54.4181
-34.4167,-33.9214,-34.1510,-34.2195
-34.3750,-45.0181,-30.9699,-30.9720
-34.3333,-33.0436,-34.5417,-34.4751
-34.2917,-47.9622,-51.4562,-52.1360
-34.2500,-34.1402,-33.1518,-33.2023
-34.2083,-37.5643,-31.4524,-31.4433
-34.1667,-37.3077,-37.0598,-36.9589
-34.1250,-33.9971,-42.2203,-42.4385
-34.0833,-44.7436,-32.2675,-32.3012
-34.0417,-32.9882,-32.0306,-32.0077
-34.0000,-50.6458,-40.6264,-40.4551
-33.9583,-33.8089,-37.8872,-38.0153
-33.9167,-38.7115,-31.3578,-31.3797
-33.8750,-36.3678,-32.2391,-32.2050
-33.8333,-34.6244,-43.7468,-43.4811
-33.7917,-41.6076,-36.1562,-36.2587
-33.7500,-33.1248,-31.0517,-31.0672
-33.7083,-66.6010,-32.6898,-32.6477
-33.6667,-33.3350,-47.4233,-47.0150
-33.6250,-42.0801,-35.4102,-35.4976
-33.5833,-34.8886,-31.2751,-31.2846
-33.5417,-36.2462,-33.7716,-33.7174
-33.5000,-37.8677,-61.2179,-59.3726
-33.4583,-33.8414,-34.2835,-34.3534
-33.4167,-44.1294,-31.1961,-31.1982
-33.3750,-33.2135,-34.5454,-34.4771
-33.3333,-55.8925,-54.8481,-55.9413
-33.2917,-33.6445,-33.2975,-33.3581
-33.2500,-40.4226,-30.8288,-30.8274
-33.2083,-34.8566,-34.4947,-34.4221
-33.1667,-36.0851,-53.3789,-54.3130
-33.1250,-37.3532,-33.2575,-33.3176
-33.0833,-34.2536,-30.9471,-30.9450
-33.0417,-43.0784,-34.7818,-34.7070
-33.0000,-33.4316,-52.1742,-52.9640
-32.9583,-68.5918,-33.4002,-33.4584
-32.9167,-33.2098,-31.2690,-31.2647
-32.8750,-43.2768,-35.4706,-35.3872
-32.8333,-33.8798,-48.3499,-48.8544
-32.7917,-38.3431,-32.9567,-33.0114
-32.7500,-35.8463,-30.9924,-30.9869
-32.7083,-35.4965,-35.1101,-35.0270
-32.6667,-39.2519,-49.4750,-50.0760
-32.6250,-33.7374,-32.9333,-32.9923
-32.5833,-44.7438,-30.7235,-30.7217
-32.5417,-33.1018,-34.2832,-34.2109
-32.5000,-67.3939,-58.8870,-60.7996
-32.4583,-33.3397,-33.7220,-33.7900
-32.4167,-45.0274,-31.0265,-31.0284
-32.3750,-33.9245,-34.1946,-34.1278
-32.3333,-39.1037,-75.8242,-84.5297
-32.2917,-34.8326,-34.1044,-34.1774
-32.2500,-36.5292,-31.0307,-31.0351
-32.2083,-36.7296,-33.7486,-33.6870
-32.1667,-34.9680,-58.0285,-56.5833
-32.1250,-40.1248,-34.3916,-34.4753
-32.0833,-33.7225,-30.6896,-30.7006
-32.0417,-45.1592,-32.5506,-32.5027
-32.0000,-33.1055,-45.5697,-45.2024
-31.9583,-56.2924,-36.0665,-36.1786
-31.9167,-33.2195,-31.0468,-31.0678
-31.8750,-50.1267,-32.0127,-31.9775
-31.8333,-33.5421,-41.2785,-41.0650
-31.7917,-42.2695,-38.2107,-38.3603
-31.7500,-33.8784,-31.5974,-31.6272
-31.7083,-39.1828,-31.7424,-31.7158
-31.6667,-34.7638,-38.9877,-38.8288
-31.6250,-37.2231,-40.2263,-40.4288
-31.5833,-36.2975,-31.7511,-31.7919
-31.5417,-35.4668,-30.9025,-30.8878
-31.5000,-37.8389,-35.7729,-35.6702
-31.4583,-34.3986,-47.0428,-47.5233
-31.4167,-39.6317,-32.8305,-32.8921
-31.3750,-33.9794,-30.6443,-30.6444
-31.3333,-42.9509,-33.6545,-33.5881
-31.2917,-33.5221,-55.7911,-54.6161
-31.2500,-48.0148,-34.8723,-34.9632
-31.2083,-33.0917,-31.0404,-31.0536
-31.1667,-55.1692,-32.6634,-32.6169
-31.1250,-33.1489,-44.1176,-43.8048
-31.0833,-61.3185,-36.9020,-37.0332
-31.0417,-33.3197,-31.1412,-31.1692
-31.0000,-48.5044,-31.3011,-31.2746
-30.9583,-33.2595,-37.7277,-37.5846
-30.9167,-45.0311,-42.1331,-42.4054
-30.8750,-33.4788,-32.1108,-32.1625
-30.8333,-42.8203,-30.5985,-30.5929
-30.7917,-33.9623,-34.1015,-34.0247
-30.7500,-40.5199,-68.1078,-63.9273
-30.7083,-34.1302,-34.5159,-34.6039
-30.6667,-39.3161,-30.9486,-30.9614
-30.6250,-34.3554,-32.5478,-32.5013
-30.5833,-38.7070,-43.1954,-42.9085
-30.5417,-34.9330,-37.4710,-37.6173
-30.5000,-37.7014,-31.2668,-31.2998
-30.4583,-35.1889,-31.0281,-31.0069
-30.4167,-37.0797,-36.3252,-36.2065
-30.3750,-35.3066,-46.0727,-46.5243
-30.3333,-36.9704,-32.8008,-32.8670
-30.2917,-35.8062,-30.4580,-30.4620
-30.2500,-36.4995,-32.7858,-32.7285
-30.2083,-35.9969,-45.6560,-45.2584
-30.1667,-36.1768,-36.6605,-36.7913
-30.1250,-35.9205,-31.2775,-31.3062
-30.0833,-36.3297,-31.4773,-31.4505
-30.0417,-36.2234,-37.6020,-37.4607
-30.0000,-36.1576,-43.3719,-43.6946
-29.9583,-36.2228,-32.4669,-32.5262
-29.9167,-36.0672,-30.4852,-30.4850
-29.8750,-35.9282,-33.0615,-32.9973
-29.8333,-36.4425,-47.2879,-46.7897
-29.7917,-36.0026,-36.1504,-36.2792
-29.7500,-36.5011,-30.9445,-30.9750
-29.7083,-35.7718,-30.9757,-30.9528
-29.6667,-36.6890,-36.2375,-36.1183
-29.6250,-35.3284,-47.5077,-48.0460
-29.5833,-37.3648,-33.2866,-33.3579
-29.5417,-35.2359,-30.7509,-30.7569
-29.5000,-37.7130,-32.7840,-32.7285
-29.4583,-34.8385,-44.0573,-43.7193
-29.4167,-38.3826,-37.3786,-37.5330
-29.3750,-34.3847,-31.1960,-31.2341
-29.3333,-39.6258,-30.5809,-30.5658
-29.2917,-34.2375,-34.5631,-34.4694
-29.2500,-40.5721,-71.6525,-106.9551
-29.2083,-33.8060,-34.4385,-34.5367
-29.1667,-42.4193,-30.6733,-30.6936
-29.1250,-33.5028,-31.4620,-31.4281
-29.0833,-45.3262,-38.0202,-37.8623
-29.0417,-33.4235,-43.1300,-43.4531
-29.0000,-48.7643,-32.6355,-32.6978
-28.9583,-33.1316,-30.6168,-30.6183
-28.9167,-60.2556,-32.8906,-32.8292
-28.8750,-33.1480,-44.5529,-44.1811
-28.8333,-55.8482,-37.3127,-37.4716
-28.7917,-33.2798,-31.1661,-31.2072
-28.7500,-47.7233,-30.3912,-30.3794
-28.7083,-33.3703,-33.8414,-33.7582
-28.6667,-42.6779,-53.3822,-52.3574
-28.6250,-33.9291,-35.5735,-35.6936
-28.5833,-39.9990,-30.9963,-31.0252
-28.5417,-34.5325,-31.1381,-31.1132
-28.5000,-37.8022,-36.1694,-36.0478
-28.4583,-35.4737,-49.7394,-50.4798
-28.4167,-36.0328,-33.6238,-33.7084
-28.3750,-37.1057,-30.4810,-30.4963
-28.3333,-34.9629,-31.4453,-31.4065
-28.2917,-39.0655,-37.9267,-37.7602
-28.2500,-33.9354,-43.6336,-44.0018
-28.2083,-42.7744,-32.6715,-32.7433
-28.1667,-33.4104,-30.2816,-30.2912
-28.1250,-49.9500,-31.7758,-31.7299
-28.0833,-33.1944,-39.3638,-39.1638
-28.0417,-59.6110,-41.5645,-41.8427
-28.0000,-33.1942,-32.4353,-32.4971
-27.9583,-44.6182,-30.5530,-30.5551
-27.9167,-33.8202,-32.6055,-32.5466
-27.8750,-39.9458,-42.3154,-42.0218
-27.8333,-34.7318,-38.8657,-39.0696
-27.7917,-36.8530,-31.6159,-31.6696
-27.7500,-36.5176,-30.1373,-30.1361
-27.7083,-34.9659,-32.3416,-32.2808
-27.6667,-39.4901,-41.8607,-41.5754
-27.6250,-33.8404,-39.2794,-39.4944
-27.5833,-44.8498,-31.9153,-31.9702
-27.5417,-33.1685,-30.4880,-30.4861
-27.5000,-77.6656,-32.8481,-32.7837
-27.4583,-33.2721,-43.3394,-43.0058
-27.4167,-44.9133,-38.4915,-38.6844
-27.3750,-33.8322,-31.6298,-31.6816
-27.3333,-38.8607,-30.2490,-30.2461
-27.2917,-35.3628,-32.4822,-32.4187
-27.2500,-35.8331,-41.9985,-41.7029
-27.2083,-38.1112,-39.3260,-39.5495
-27.1667,-34.0926,-31.8596,-31.9189
-27.1250,-43.5293,-30.2282,-30.2309
-27.0833,-33.2159,-32.1300,-32.0754
-27.0417,-78.6579,-40.3029,-40.0691
-27.0000,-33.2939,-41.0460,-41.3169
-26.9583,-43.4481,-32.3902,-32.4554
-26.9167,-34.1244,-30.3800,-30.3859
-26.8750,-37.5842,-31.9119,-31.8615
-26.8333,-36.3591,-39.0680,-38.8644
-26.7917,-34.8548,-42.7332,-43.0809
-26.7500,-40.6537,-32.6528,-32.7303
-26.7083,-33.4273,-30.1271,-30.1422
-26.6667,-54.4711,-31.0161,-30.9799
-26.6250,-33.1860,-36.2847,-36.1461
-26.5833,-44.7453,-51.5767,-52.5805
-26.5417,-34.0471,-34.2333,-34.3352
-26.5000,-37.7786,-30.7159,-30.7413
-26.4583,-36.3802,-30.9464,-30.9198
-26.4167,-34.6295,-35.1671,-35.0538
-26.3750,-41.7524,-73.3651,-65.8988
-26.3333,-33.3300,-35.2227,-35.3511
-26.2917,-89.2383,-30.7107,-30.7489
-26.2500,-33.2911,-30.1263,-30.1146
-26.2083,-41.4048,-32.8558,-32.7807
-26.1667,-34.8039,-43.3004,-42.9442
-26.1250,-36.1047,-39.0514,-39.2705
-26.0833,-38.4420,-32.0032,-32.0641
-26.0417,-33.7173,-30.3612,-30.3652
-26.0000,-49.3845,-32.0021,-31.9497
-25.9583,-33.1769,-38.9805,-38.7772
-25.9167,-44.8089,-43.6211,-44.0133
-25.8750,-34.1765,-32.9815,-33.0664
